epoch,step,train/brier_fde,train/minADE6,train/minFDE6,train/miss_rate,train/nuscenes/brier_fde,train/nuscenes/minADE6,train/nuscenes/minFDE6,train/nuscenes/miss_rate,val/brier_fde,val/minADE6,val/minFDE6,val/miss_rate,val/nuscenes/brier_fde,val/nuscenes/minADE6,val/nuscenes/minFDE6,val/nuscenes/miss_rate
0,0,,,,,,,,,15.26187515258789,7.814994812011719,14.428407669067383,1.0,15.26187515258789,7.814994812011719,14.428407669067383,1.0
0,0,16.975847244262695,9.972434997558594,16.143138885498047,1.0,16.975847244262695,9.972434997558594,16.143138885498047,1.0,,,,,,,,
1,1,,,,,,,,,13.753106117248535,6.9147443771362305,12.919575691223145,0.8032786846160889,13.753106117248535,6.9147443771362305,12.919575691223145,0.8032786846160889
1,1,14.823266983032227,7.833204746246338,13.99040412902832,0.9508196711540222,14.823266983032227,7.833204746246338,13.99040412902832,0.9508196711540222,,,,,,,,
2,2,,,,,,,,,13.015162467956543,6.545034408569336,12.181666374206543,0.7868852615356445,13.015162467956543,6.545034408569336,12.181666374206543,0.7868852615356445
2,2,13.496064186096191,6.912309646606445,12.664393424987793,0.7868852615356445,13.496064186096191,6.912309646606445,12.664393424987793,0.7868852615356445,,,,,,,,
3,3,,,,,,,,,12.64725399017334,6.41451358795166,11.813820838928223,0.7704917788505554,12.64725399017334,6.41451358795166,11.813820838928223,0.7704917788505554
3,3,12.760924339294434,6.549737930297852,11.925411224365234,0.7704917788505554,12.760924339294434,6.549737930297852,11.925411224365234,0.7704917788505554,,,,,,,,
4,4,,,,,,,,,12.500166893005371,6.228806495666504,11.666648864746094,0.7704917788505554,12.500166893005371,6.228806495666504,11.666648864746094,0.7704917788505554
4,4,12.431001663208008,6.410214424133301,11.597702026367188,0.7377049326896667,12.431001663208008,6.410214424133301,11.597702026367188,0.7377049326896667,,,,,,,,
5,5,,,,,,,,,12.437427520751953,6.16224479675293,11.603734970092773,0.7540983557701111,12.437427520751953,6.16224479675293,11.603734970092773,0.7540983557701111
5,5,12.283750534057617,6.2286553382873535,11.45123291015625,0.7213114500045776,12.283750534057617,6.2286553382873535,11.45123291015625,0.7213114500045776,,,,,,,,
6,6,,,,,,,,,12.188331604003906,6.04190731048584,11.354557037353516,0.7377049326896667,12.188331604003906,6.04190731048584,11.354557037353516,0.7377049326896667
6,6,12.181745529174805,6.156361103057861,11.350227355957031,0.7049180269241333,12.181745529174805,6.156361103057861,11.350227355957031,0.7049180269241333,,,,,,,,
7,7,,,,,,,,,12.013419151306152,5.916541576385498,11.179797172546387,0.7049180269241333,12.013419151306152,5.916541576385498,11.179797172546387,0.7049180269241333
7,7,11.994630813598633,6.029203414916992,11.16132926940918,0.7213114500045776,11.994630813598633,6.029203414916992,11.16132926940918,0.7213114500045776,,,,,,,,
8,8,,,,,,,,,11.922674179077148,5.853163719177246,11.089028358459473,0.7049180269241333,11.922674179077148,5.853163719177246,11.089028358459473,0.7049180269241333
8,8,11.773700714111328,5.912539482116699,10.941343307495117,0.6721311211585999,11.773700714111328,5.912539482116699,10.941343307495117,0.6721311211585999,,,,,,,,
9,9,,,,,,,,,11.758970260620117,5.733177185058594,10.925291061401367,0.7049180269241333,11.758970260620117,5.733177185058594,10.925291061401367,0.7049180269241333
9,9,11.690242767333984,5.8323974609375,10.857941627502441,0.688524603843689,11.690242767333984,5.8323974609375,10.857941627502441,0.688524603843689,,,,,,,,
10,10,,,,,,,,,11.692877769470215,5.675378799438477,10.859292984008789,0.7213114500045776,11.692877769470215,5.675378799438477,10.859292984008789,0.7213114500045776
10,10,11.525882720947266,5.718817234039307,10.694186210632324,0.6721311211585999,11.525882720947266,5.718817234039307,10.694186210632324,0.6721311211585999,,,,,,,,
11,11,,,,,,,,,11.617751121520996,5.608712196350098,10.784278869628906,0.7049180269241333,11.617751121520996,5.608712196350098,10.784278869628906,0.7049180269241333
11,11,11.417203903198242,5.660650253295898,10.584230422973633,0.6721311211585999,11.417203903198242,5.660650253295898,10.584230422973633,0.6721311211585999,,,,,,,,
12,12,,,,,,,,,11.509669303894043,5.515941619873047,10.676270484924316,0.7049180269241333,11.509669303894043,5.515941619873047,10.676270484924316,0.7049180269241333
12,12,11.353260040283203,5.601140022277832,10.51915168762207,0.688524603843689,11.353260040283203,5.601140022277832,10.51915168762207,0.688524603843689,,,,,,,,
13,13,,,,,,,,,11.43203353881836,5.436618328094482,10.598611831665039,0.7049180269241333,11.43203353881836,5.436618328094482,10.598611831665039,0.7049180269241333
13,13,11.257935523986816,5.5108232498168945,10.425835609436035,0.688524603843689,11.257935523986816,5.5108232498168945,10.425835609436035,0.688524603843689,,,,,,,,
14,14,,,,,,,,,11.38247013092041,5.3700270652771,10.549022674560547,0.7377049326896667,11.38247013092041,5.3700270652771,10.549022674560547,0.7377049326896667
14,14,11.176251411437988,5.438856601715088,10.342032432556152,0.688524603843689,11.176251411437988,5.438856601715088,10.342032432556152,0.688524603843689,,,,,,,,
15,15,,,,,,,,,11.350769996643066,5.315776348114014,10.517353057861328,0.7704917788505554,11.350769996643066,5.315776348114014,10.517353057861328,0.7704917788505554
15,15,11.14832878112793,5.370392322540283,10.31646728515625,0.688524603843689,11.14832878112793,5.370392322540283,10.31646728515625,0.688524603843689,,,,,,,,
16,16,,,,,,,,,11.319375038146973,5.280645847320557,10.485960960388184,0.7540983557701111,11.319375038146973,5.280645847320557,10.485960960388184,0.7540983557701111
